driver,predicted_points,actual_points
Alexander Albon,0.0,0.0
Antonio Giovinazzi,0.0,1.0
Carlos Sainz,5.222222222222222,6.666666666666667
Charles Leclerc,6.1,7.0
Daniel Ricciardo,2.3333333333333335,3.5555555555555554
Daniil Kvyat,0.0,0.0
Esteban Ocon,2.2222222222222223,3.111111111111111
Fernando Alonso,3.6363636363636362,4.454545454545454
George Russell,4.2727272727272725,6.090909090909091
Guanyu Zhou,0.0,0.0
Jack Aitken,0.0,0.0
Kevin Magnussen,0.0,1.0
Kimi Räikkönen,0.0,0.0
Lance Stroll,1.2857142857142858,2.142857142857143
Lando Norris,4.142857142857143,3.142857142857143
Lewis Hamilton,8.666666666666666,13.416666666666666
Logan Sargeant,0.0,0.0
Max Verstappen,8.615384615384615,19.615384615384617
Mick Schumacher,0.0,0.0
Nicholas Latifi,0.0,0.75
Nico Hülkenberg,0.0,0.8
Nikita Mazepin,0.0,0.0
Oscar Piastri,4.5,6.5
Pierre Gasly,1.5,2.6
Pietro Fittipaldi,0.0,0.0
Romain Grosjean,0.0,0.0
Sebastian Vettel,0.4444444444444444,4.444444444444445
Sergio Pérez,7.333333333333333,13.777777777777779
Valtteri Bottas,2.5714285714285716,5.428571428571429
Yuki Tsunoda,0.0,1.2307692307692308
