driver,predicted_points,actual_points
Alexander Albon,0,0.0
Antonio Giovinazzi,0,2.0
Carlos Sainz,47,60.0
Charles Leclerc,61,70.0
Daniel Ricciardo,21,32.0
Daniil Kvyat,0,0.0
Esteban Ocon,20,28.0
Fernando Alonso,40,49.0
George Russell,47,67.0
Guanyu Zhou,0,0.0
Jack Aitken,0,0.0
Kevin Magnussen,0,2.0
Kimi Räikkönen,0,0.0
Lance Stroll,9,15.0
Lando Norris,29,22.0
Lewis Hamilton,104,161.0
Logan Sargeant,0,0.0
Max Verstappen,112,255.0
Mick Schumacher,0,0.0
Nicholas Latifi,0,6.0
Nico Hülkenberg,0,4.0
Nikita Mazepin,0,0.0
Oscar Piastri,9,13.0
Pierre Gasly,15,26.0
Pietro Fittipaldi,0,0.0
Romain Grosjean,0,0.0
Sebastian Vettel,4,40.0
Sergio Pérez,66,124.0
Valtteri Bottas,18,38.0
Yuki Tsunoda,0,16.0
